Source:;Basis: ZFKD 2025, modified, annotated with support by Claude Opus, modified, Enhanced with support by Claude Opus, modified;;;;;;;;;;;;;;;;;;;;;;;;;
Regime;Substance1;Substance2;Substance3;Substance4;Substance5;Substance6;Substance7;Inclusion.ICD10.Short;Inclusion.ICD10.Short.SecondaryUse;Inclusion.ICDO.TopographyCode.Short;Inclusion.ICDO.TopographyCode.Short.SecondaryUse;Inclusion.ICD10.Detailed;Inclusion.ICD10.Detailed.SecondaryUse;Inclusion.ICDO.Morphology;Inclusion.Biomarker.RequiredAll;Inclusion.Biomarker.RequiredAny;Confidence;DuplicateGroup;DuplicateGroup.Members;DuplicateGroup.Disambiguation;SubsetOf;SingleAgent;Therapy.Line;Therapy.Line.Confidence;Therapy.Context;Therapy.Context.Confidence
BrECADD;Brentuximab;Cyclophosphamid;Dacarbazin;Doxorubicin;Etoposid;Dexamethason;;C81;;C77;;;;9650/3-9667/3;CD30-positive;;high;;;unique;;FALSE;first-line;high;curative-intent;high
Brentuximab mono;Brentuximab;;;;;;;C81, C84;C85;C77;C77;;;9650/3-9667/3,9702/3,9705/3,9714/3;CD30-positive;;high;;;unique;A+AVD,BrECADD;TRUE;second-line+;high;palliative;high
BuCy;Busulfan;Cyclophosphamid;;;;;;C92, C91;C93, C95, C90, D46;C42;C42, D46;C92.0, C91.0;;9861/3,9895/3,9896/3,9811/3,9835/3;;;medium;;;unique;;FALSE;;;SCT-conditioning;high
Cabazitaxel + Prednison;Cabazitaxel;Prednison;;;;;;C61;;C61;;;;8140/3;;;high;;;unique;;FALSE;second-line+;high;palliative;high
Cabozantinib;Cabozantinib;;;;;;;C64;C22, C73;C64;C22, C73;;C22.0, C73;8310/3,8312/3,8170/3,8345/3;;;high;;;unique;;TRUE;first-line and later;medium;palliative;high
CAD;Cyclophosphamid;Doxorubicin;Dexamethason;;;;;C90;C83, C85;C42;C77;C90.0;;9732/3;;;medium;;;unique;BrECADD,Hyper-CVAD;FALSE;;;stem-cell mobilisation;high
Capecitabin mono;Capecitabin;;;;;;;C18, C19, C20, C50, C16;C15, C25, C22, C23, C24, C21;C18, C19, C20, C50, C16;C15, C25, C22, C23, C24, C21;;;8500/3,8520/3,8140/3;;;high;;;unique;CAPOX,CAPTEM,EOX,XP;TRUE;first-line and later;medium;adjuvant,palliative;medium
CAPOX;Capecitabin;Oxaliplatin;;;;;;C18, C19, C20, C16;C15, C25, C22, C23, C24;C18, C19, C20, C16;C15, C25, C22, C23, C24;;;8140/3;;;high;;;unique;EOX;FALSE;first-line;high;adjuvant,perioperative,palliative;high
CAPTEM;Capecitabin;Temozolomid;;;;;;C25, C17;C34, C18, C73;C25, C17;C34, C18, C73;C25.4, C17;;8240/3,8246/3,8249/3;;;high;;;unique;;FALSE;first-line and later;medium;palliative;medium
CarboPemPem;Carboplatin;Pembrolizumab;Pemetrexed;;;;;C34, C45;C48, C38, C33;C34, C45;C48, C38, C33;;;8140/3,8250/3,8255/3,9050/3-9053/3;;;high;DG01;Pembro + Carbo/Pem;partly resolvable by entity;;FALSE;first-line;high;palliative,maintenance;high
Carboplatin mono;Carboplatin;;;;;;;C56, C57, C48;C34, C50, C62;C56, C57, C48;C34, C50, C62;;;8441/3,8460/3,8461/3;;;high;;;unique;Atezolizumab + Carbo/Etoposid,CEV,CROSS,CarboPemPem,DC (Doce/Carbo),DeVIC,Durvalumab + Platin/Etoposid,EXTREME mit Carboplatin,GC-B (Carbo),Gem-Carbo,ICE,M-Cavi,PC,PC mit Bevacizumab,PE-Carbo,Pembro + Carbo/Paclitaxel,Pembro + Carbo/Pem,R-DeVIC,R-ICE,TCH;TRUE;first-line;medium;adjuvant,palliative;medium
CEV;Carboplatin;Etoposid;Vincristin;;;;;C69, C74, C34;C40, C41, C49;C69, C74, C34;C40, C41, C49;C69.2, C74, C34;;8041/3-8045/3,9510/3;;;low;;;unique;;FALSE;first-line;high;palliative;high
Chlorambucil + Obinutuzumab;Chlorambucil;Obinutuzumab;;;;;;C91;C82;C42;C77;C91.1;;9823/3;CD20-positive;;high;;;unique;;FALSE;first-line;high;palliative;high
CHOEP;Cyclophosphamid;Doxorubicin;Etoposid;Vincristin;Prednison;;;C83, C84, C85, C86;C82, C88;C77;C77;C83.3, C84, C85, C86;;9702/3,9705/3,9714/3,9680/3;;;high;;;unique;BEACOPP,EPOCH-R;FALSE;first-line;high;curative-intent;high
CHOP;Cyclophosphamid;Doxorubicin;Vincristin;Prednison;;;;C82, C83, C84, C85;C86, C88, C91, C37;C77;C77, C42, C37;C82, C83.3, C84, C85;;9680/3,9690/3,9691/3,9695/3,9698/3,9702/3,9705/3,9714/3;;;high;;;unique;BEACOPP,CHOEP,EPOCH-R,R-CHOP;FALSE;first-line;high;curative-intent;high
Cis-Pem;Cisplatin;Pemetrexed;;;;;;C34, C45;C48, C38;C34, C45;C48, C38;;;8140/3,8250/3,8255/3,9050/3-9053/3;;;high;;;unique;;FALSE;first-line;high;palliative;high
Cisplatin + RT;Cisplatin;;;;;;;C01, C02, C03, C04, C05, C06, C09, C10, C13, C14, C32, C53;C15, C33, C34;C01, C02, C03, C04, C05, C06, C09, C10, C13, C14, C32, C53;C15, C33, C34;;;8070/3,8140/3;;;high;;;unique;CV,Cis-Pem,DHAP,DVP,Durvalumab + Gem/Cis,ECF,EXTREME mit Cisplatin,GC-B (Cis),GDP-Schema,Gem-Cis,M-VAC,MAP,PAC,PE,PEB,PEI,PF,PLF,PVBI,Paclitaxel/Cisplatin/Bevacizumab,Pembro + Platin/5-FU,R-DHAP,TIP,TPF,VIPD,VeIP,XP;TRUE;first-line;high;chemoradiotherapy,curative-intent;high
CMF;Cyclophosphamid;Fluorouracil;Methotrexat;;;;;C50;;C50;;;;8500/3,8520/3;;;high;;;unique;;FALSE;first-line;high;adjuvant;high
COPP;Cyclophosphamid;Procarbazin;Vincristin;Prednison;;;;C81;C83, C85;C77;C77;;;9650/3-9667/3;;;high;;;unique;BEACOPP;FALSE;first-line;high;curative-intent;high
CPX-351;Cytarabin und Daunorubicin;;;;;;;C92;D46;C42;C42, D46;C92.0;;9861/3,9895/3,9896/3;;;high;;;unique;;TRUE;first-line;high;induction;high
CROSS;Carboplatin;Paclitaxel;;;;;;C15;C16;C15;C16;;;8140/3,8070/3;;;high;DG02;PC;resolvable by entity;PC mit Bevacizumab,Pembro + Carbo/Paclitaxel;FALSE;first-line;high;neoadjuvant,chemoradiotherapy,curative-intent;high
CV;Cisplatin;Vinorelbin;;;;;;C34;C33, C50, C45;C34;C33, C50, C45;;;8140/3,8250/3,8255/3,8070/3;;;medium;;;unique;;FALSE;first-line;medium;adjuvant,palliative;high
DA;Cytarabin;Daunorubicin;;;;;;C92;C91, C93, C94, D46;C42;C42, D46;C92.0;;9861/3,9895/3,9896/3;;;medium;;;unique;TAD;FALSE;first-line;high;induction;high
Dabrafenib + Trametinib;Dabrafenib;Trametinib;;;;;;C43;C34, C71, C73;C43;C34, C71, C73;;;8720/3;BRAF V600-mutated;;high;;;unique;;FALSE;first-line and later;medium;adjuvant,palliative;medium
Darolutamid;Darolutamid;;;;;;;C61;;C61;;;;8140/3;;;high;;;unique;;TRUE;first-line and later;medium;palliative;high
Dasatinib;Dasatinib;;;;;;;C92;C91;C42;C42;C92.1;;9863/3,9875/3;BCR-ABL1-positive;;high;;;unique;;TRUE;first-line and later;medium;palliative;high
DC (Doce/Carbo);Carboplatin;Docetaxel;;;;;;C50, C56, C34;C57, C48, C54, C15, C01, C02, C03, C04, C05, C06, C09, C10, C13, C14, C32;C50, C56, C34;C57, C48, C54, C15, C01, C02, C03, C04, C05, C06, C09, C10, C13, C14, C32;;;8500/3,8520/3,8441/3,8460/3,8461/3;;;medium;;;unique;TCH;FALSE;first-line;medium;neoadjuvant,adjuvant,palliative;medium
DC (Doce/Cyclo);Cyclophosphamid;Docetaxel;;;;;;C50;;C50;;;;8500/3,8520/3;;;high;;;unique;EC-D,FEC-Doc,TAC;FALSE;first-line;high;adjuvant;high
Degarelix;Degarelix;;;;;;;C61;;C61;;;;8140/3;;;high;;;unique;;TRUE;first-line;medium;palliative;high
DeVIC;Carboplatin;Etoposid;Ifosfamid;Dexamethason;;;;C86, C83, C85;C82, C84, C81;C11, C30, C77;C77;C86.0, C83.3, C85;;9719/3,9680/3,9690/3,9673/3;;;medium;;;unique;R-DeVIC;FALSE;first-line and later;medium;chemoradiotherapy,salvage;medium
Dexa-BEAM;Carmustin;Cytarabin;Etoposid;Melphalan;Dexamethason;;;C81, C83, C85;C82, C84;C77;C77;C81, C83.3, C85;;9650/3-9667/3,9680/3,9690/3,9673/3;;;high;;;unique;;FALSE;second-line+;high;salvage,stem-cell mobilisation;high
DHAP;Cisplatin;Cytarabin;Dexamethason;;;;;C81, C83, C85;C82, C84, C86, C88;C77;C77;C81, C83.3, C85;;9680/3,9690/3,9673/3,9650/3-9667/3;;;high;;;unique;R-DHAP;FALSE;second-line+;high;salvage;high
Docetaxel + Prednison;Docetaxel;Prednison;;;;;;C61;;C61;;;;8140/3;;;high;;;unique;;FALSE;first-line;high;palliative;high
Doxorubicin mono;Doxorubicin;;;;;;;C49, C48;C40, C41, C50, C54;C49, C48;C40, C41, C50, C54;;;8800/3-8890/3;;;high;;;unique;A+AVD,ABVD,AC,ACO,ADR-IFO,AVD,BEACOPP,BrECADD,CAD,CHOEP,CHOP,EPOCH-R,FAC,Hyper-CVAD,M-VAC,MAP,PAC,PVAG-Schema,Pola-R-CHP,R-CHOP,TAC,VIDE;TRUE;first-line;high;palliative;high
DRC;Cyclophosphamid;Rituximab;Dexamethason;;;;;C88;C82, C83, C85;C77;C77;C88.4;;9761/3,9689/3,9699/3;CD20-positive;;high;;;unique;;FALSE;first-line;high;palliative;high
D-Rd;Daratumumab;Lenalidomid;Dexamethason;;;;;C90;;C42;;C90.0;;9732/3;;;high;;;unique;;FALSE;first-line;high;palliative;high
DTIC mono;Dacarbazin;;;;;;;C43;C49, C81;C43;C49, C77;;;8720/3;;;medium;;;unique;A+AVD,ABVD,AVD,BOLD,BrECADD,DVP;TRUE;;;palliative;medium
Durvalumab + Gem/Cis;Durvalumab;Gemcitabin;Cisplatin;;;;;C22, C23, C24;;C22, C23, C24;;C22.1, C23, C24;;8160/3;;;high;;;unique;;FALSE;first-line;high;palliative;high
Durvalumab + Platin/Etoposid;Durvalumab;Carboplatin;Etoposid;;;;;C34;;C34;;;;8041/3-8045/3;;;high;;;unique;;FALSE;first-line;high;palliative;high
Durvalumab mono;Durvalumab;;;;;;;C34;C22, C23, C24;C34;C22, C23, C24;;;8140/3,8250/3,8255/3,8070/3;;;high;;;unique;Durvalumab + Gem/Cis,Durvalumab + Platin/Etoposid;TRUE;;;consolidation,curative-intent;high
D-VMP;Daratumumab;Bortezomib;Melphalan;Prednison;;;;C90;;C42;;C90.0;;9732/3;;;high;;;unique;;FALSE;first-line;high;palliative;high
DVP;Cisplatin;Dacarbazin;Vindesin;;;;;C43;C69;C43;C69;;;8720/3;;;medium;;;unique;;FALSE;;;palliative;medium
D-VTd;Daratumumab;Bortezomib;Thalidomid;Dexamethason;;;;C90;;C42;;C90.0;;9732/3;;;high;;;unique;;FALSE;first-line;high;induction;high
EC;Cyclophosphamid;Epirubicin;;;;;;C50;C34, C49, C40, C41;C50;C34, C49, C40, C41;;;8500/3,8520/3;;;high;;;unique;EC-D,EC-P,FEC,FEC-Doc;FALSE;first-line;high;neoadjuvant,adjuvant,curative-intent;high
EC-D;Cyclophosphamid;Docetaxel;Epirubicin;;;;;C50;;C50;;;;8500/3,8520/3;;;high;;;unique;FEC-Doc;FALSE;first-line;high;neoadjuvant,adjuvant,curative-intent;high
ECF;Cisplatin;Epirubicin;Fluorouracil;;;;;C16, C15;C22, C23, C24, C25;C16, C15;C22, C23, C24, C25;;;8140/3,8144/3;;;high;;;unique;;FALSE;first-line;high;perioperative,palliative;high
EC-P;Cyclophosphamid;Epirubicin;Paclitaxel;;;;;C50;;C50;;;;8500/3,8520/3;;;high;;;unique;;FALSE;first-line;high;neoadjuvant,adjuvant,curative-intent;high
ELO-Rd;Elotuzumab;Lenalidomid;Dexamethason;;;;;C90;;C42;;C90.0;;9732/3;;;high;;;unique;;FALSE;second-line+;high;palliative;high
Encorafenib + Binimetinib;Encorafenib;Binimetinib;;;;;;C43;C18, C19, C20;C43;C18, C19, C20;;;8720/3;BRAF V600-mutated;;high;;;unique;;FALSE;first-line and later;medium;palliative;high
Enzalutamid;Enzalutamid;;;;;;;C61;;C61;;;;8140/3;;;high;;;unique;;TRUE;first-line and later;medium;palliative;high
EOX;Capecitabin;Epirubicin;Oxaliplatin;;;;;C16, C15;C22, C23, C24;C16, C15;C22, C23, C24;;;8140/3,8144/3;;;high;;;unique;;FALSE;first-line;high;palliative;high
EPOCH-R;Cyclophosphamid;Doxorubicin;Etoposid;Vincristin;Rituximab;Prednison;;C83, C85;C82, C88, C91;C77;C77, C38;C83.7, C85.2;;9680/3,9679/3,9687/3;CD20-positive;;high;;;unique;;FALSE;first-line;high;curative-intent;high
Eribulin;Eribulin;;;;;;;C50;C49;C50;C49;;;8500/3,8520/3;;;high;;;unique;;TRUE;second-line+;high;palliative;high
EV + Pembrolizumab;Enfortumab Vedotin;Pembrolizumab;;;;;;C67, C65, C66, C68;;C67, C65, C66, C68;;;;8120/3;;;high;;;unique;;FALSE;first-line;high;palliative;high
Exemestan;Exemestan;;;;;;;C50;;C50;;;;8500/3,8520/3;HR-positive;;high;;;unique;AI + GnRH-Analogon;TRUE;first-line and later;medium;adjuvant,palliative,long-term endocrine;high
EXTREME mit Carboplatin;Carboplatin;Cetuximab;Fluorouracil;;;;;C01, C02, C03, C04, C05, C06, C09, C10, C13, C14, C32;C00, C07, C08, C11, C12, C30, C31, C15;C01, C02, C03, C04, C05, C06, C09, C10, C13, C14, C32;C00, C07, C08, C11, C12, C30, C31, C15;;;8070/3;;;high;;;unique;;FALSE;first-line;high;palliative;high
EXTREME mit Cisplatin;Cetuximab;Cisplatin;Fluorouracil;;;;;C01, C02, C03, C04, C05, C06, C09, C10, C13, C14, C32;C00, C07, C08, C11, C12, C30, C31, C15;C01, C02, C03, C04, C05, C06, C09, C10, C13, C14, C32;C00, C07, C08, C11, C12, C30, C31, C15;;;8070/3;;;high;;;unique;;FALSE;first-line;high;palliative;high
FAC;Cyclophosphamid;Doxorubicin;Fluorouracil;;;;;C50;;C50;;;;8500/3,8520/3;;;high;;;unique;;FALSE;first-line;high;adjuvant;high
FC;Cyclophosphamid;Fludarabin;;;;;;C91;C82, C83, C88;C42;C77;C91.1;;9823/3;;;high;;;unique;FCR;FALSE;;;palliative;medium
FCR;Cyclophosphamid;Fludarabin;Rituximab;;;;;C91;C82, C83, C88;C42;C77;C91.1;;9823/3;CD20-positive;;high;;;unique;;FALSE;first-line;medium;palliative;high
FEC;Cyclophosphamid;Epirubicin;Fluorouracil;;;;;C50;;C50;;;;8500/3,8520/3;;;high;;;unique;FEC-Doc;FALSE;first-line;high;neoadjuvant,adjuvant,curative-intent;high
FEC-Doc;Cyclophosphamid;Docetaxel;Epirubicin;Fluorouracil;;;;C50;;C50;;;;8500/3,8520/3;;;high;;;unique;;FALSE;first-line;high;neoadjuvant,adjuvant,curative-intent;high
FLAG-Ida;Cytarabin;Fludarabin;Idarubicin;;;;;C92;C91, C93, D46;C42;C42, D46;C92.0;;9861/3,9895/3,9896/3;;;high;;;unique;;FALSE;second-line+;high;salvage;high
FLO;Fluorouracil;Folinsäure;Oxaliplatin;;;;;C16, C15;C18, C19, C20, C25;C16, C15;C18, C19, C20, C25;;;8140/3,8144/3;;;high;DG03;FOLFOX;resolvable by entity;FLOT,FOLFOX + Bevacizumab,FOLFOX + Panitumumab,FOLFOXIRI,Folfirinox;FALSE;first-line;high;palliative;high
FLOT;Docetaxel;Fluorouracil;Folinsäure;Oxaliplatin;;;;C16, C15;C17, C25;C16, C15;C17, C25;C16.0, C15;;8140/3,8144/3;;;high;;;unique;;FALSE;first-line;high;perioperative,curative-intent;high
Flu-Cam;Alemtuzumab;Fludarabin;;;;;;C91;C84;C42;C77;C91.6;;9823/3,9834/3;;;medium;;;unique;;FALSE;second-line+;high;palliative;high
FOLFIRI;Fluorouracil;Folinsäure;Irinotecan;;;;;C18, C19, C20;C16, C25, C22, C23, C24;C18, C19, C20;C16, C25, C22, C23, C24;;;8140/3;;;high;;;unique;FOLFIRI + Bevacizumab,FOLFIRI + Cetuximab,FOLFOXIRI,Folfirinox;FALSE;first-line and later;high;palliative;high
FOLFIRI + Bevacizumab;Fluorouracil;Folinsäure;Irinotecan;Bevacizumab;;;;C18, C19, C20;;C18, C19, C20;;;;8140/3;;;high;;;unique;;FALSE;first-line and later;high;palliative;high
FOLFIRI + Cetuximab;Fluorouracil;Folinsäure;Irinotecan;Cetuximab;;;;C18, C19, C20;;C18, C19, C20;;C18.5-C18.7, C19, C20;;8140/3;RAS wild-type;;high;;;unique;;FALSE;first-line and later;high;palliative;high
Folfirinox;Fluorouracil;Folinsäure;Irinotecan;Oxaliplatin;;;;C25;C22, C23, C24, C18, C19, C20;C25;C22, C23, C24, C18, C19, C20;C25.0-C25.3;;8140/3,8500/3;;;high;DG04;FOLFOXIRI;resolvable by entity;;FALSE;first-line;high;adjuvant,palliative;high
FOLFOX;Fluorouracil;Folinsäure;Oxaliplatin;;;;;C18, C19, C20;C16, C15, C25, C22, C23, C24;C18, C19, C20;C16, C15, C25, C22, C23, C24;;;8140/3;;;high;DG03;FLO;resolvable by entity;FLOT,FOLFOX + Bevacizumab,FOLFOX + Panitumumab,FOLFOXIRI,Folfirinox;FALSE;first-line;high;adjuvant,perioperative,palliative;high
FOLFOX + Bevacizumab;Fluorouracil;Folinsäure;Oxaliplatin;Bevacizumab;;;;C18, C19, C20;C16;C18, C19, C20;C16;;;8140/3;;;high;;;unique;;FALSE;first-line;high;palliative;high
FOLFOX + Panitumumab;Fluorouracil;Folinsäure;Oxaliplatin;Panitumumab;;;;C18, C19, C20;;C18, C19, C20;;C18.5-C18.7, C19, C20;;8140/3;RAS wild-type;;high;;;unique;;FALSE;first-line;high;palliative;high
FOLFOXIRI;Fluorouracil;Folinsäure;Irinotecan;Oxaliplatin;;;;C18, C19, C20;C16, C25;C18, C19, C20;C16, C25;;;8140/3;;;high;DG04;Folfirinox;resolvable by entity;;FALSE;first-line;high;palliative;high
FUFAMI;Fluorouracil;Folinsäure;Mitomycin;;;;;C18, C19, C20;C21, C16;C18, C19, C20;C21, C16;;;8140/3;;;medium;;;unique;;FALSE;;;palliative;medium
Fulvestrant mono;Fulvestrant;;;;;;;C50;;C50;;;;8500/3,8520/3;HR-positive;;high;;;unique;Abemaciclib + Fulvestrant;TRUE;first-line and later;medium;palliative,long-term endocrine;high
GC-B (Carbo);Bevacizumab;Carboplatin;Gemcitabin;;;;;C56, C57, C48;C34;C56, C57, C48;C34;;;8441/3,8460/3,8461/3;;;high;;;unique;;FALSE;second-line+;high;palliative;high
GC-B (Cis);Bevacizumab;Cisplatin;Gemcitabin;;;;;C56, C57, C48;C34;C56, C57, C48;C34;;;8140/3,8250/3,8255/3;;;high;;;unique;;FALSE;first-line;low;palliative;medium
GDP-Schema;Cisplatin;Gemcitabin;Dexamethason;;;;;C81, C83, C85;C82, C84, C86;C77;C77;C81, C83.3, C85;;9680/3,9690/3,9673/3,9650/3-9667/3;;;high;;;unique;;FALSE;second-line+;high;salvage;high
GELOX;Asparaginase;Gemcitabin;Oxaliplatin;;;;;C86;C84;C11, C30;C77;C86.0;;9719/3;;;high;;;unique;;FALSE;first-line and later;medium;chemoradiotherapy,salvage;medium
Gem + Nab-Paclitaxel;Gemcitabin;Nab-Paclitaxel;;;;;;C25;;C25;;C25.0-C25.3;;8140/3,8500/3;;;high;;;unique;;FALSE;first-line;high;palliative;high
Gem-Carbo;Carboplatin;Gemcitabin;;;;;;C34, C56, C67;C50, C45, C57, C48, C22, C23, C24;C34, C56, C67;C50, C45, C57, C48, C22, C23, C24;;;8120/3,8441/3,8460/3,8461/3,8140/3,8250/3,8255/3;;;medium;;;unique;GC-B (Carbo);FALSE;first-line;high;palliative;high
Gem-Cis;Cisplatin;Gemcitabin;;;;;;C22, C23, C24, C67, C34;C25, C45, C53, C11, C65, C66;C22, C23, C24, C67, C34;C25, C45, C53, C11, C65, C66;C22.1, C23, C24, C67, C34;;8160/3,8120/3,8140/3,8250/3,8255/3;;;high;;;unique;Durvalumab + Gem/Cis,GC-B (Cis),GDP-Schema;FALSE;first-line;high;palliative;high
Gem-Doce;Gemcitabin;Docetaxel;;;;;;C49;C54, C48, C40, C41;C49;C54, C48, C40, C41;;;8800/3-8890/3;;;high;;;unique;;FALSE;first-line and later;medium;palliative;medium
GemOx;Gemcitabin;Oxaliplatin;;;;;;C22,C23,C24,C25;C83,C85,C84,C86,C16;C22,C23,C24,C25;C77,C16;C22.1, C23, C24, C25.0-C25.3;;8160/3,8140/3,8500/3;;;high;;;unique;GELOX,P-GEMOX,R-GemOx;FALSE;;;palliative;medium
