Source:;Basis: ZFKD 2025, modified, annotated with support by Claude Opus, modified, Enhanced with support by Claude Opus, modified;;;;;;;;;;;;;;;;;;
Regime;Substance1;Substance2;Substance3;Substance4;Substance5;Substance6;Substance7;Inclusion.ICD10.Short;Inclusion.ICD10.Short.SecondaryUse;Inclusion.ICDO.TopographyCode.Short;Inclusion.ICDO.TopographyCode.Short.SecondaryUse;Confidence;DuplicateGroup;DuplicateGroup.Members;DuplicateGroup.Disambiguation;SubsetOf;SingleAgent;Therapy.Line;Therapy.Context
CEV;Carboplatin;Etoposid;Vincristin;;;;;C69, C74, C34;C40, C41, C49;C69, C74, C34;C40, C41, C49;low;;;unique;;FALSE;first-line;palliative
Chlorambucil + Obinutuzumab;Chlorambucil;Obinutuzumab;;;;;;C91;C82;C42;C77;high;;;unique;;FALSE;first-line;palliative
CHOEP;Cyclophosphamid;Doxorubicin;Etoposid;Vincristin;Prednison;;;C83, C84, C85, C86;C82, C88;C77;C77;high;;;unique;BEACOPP,EPOCH-R;FALSE;first-line;curative-intent
CHOP;Cyclophosphamid;Doxorubicin;Vincristin;Prednison;;;;C82, C83, C84, C85;C86, C88, C91, C37;C77;C77, C42, C37;high;;;unique;BEACOPP,CHOEP,EPOCH-R,R-CHOP;FALSE;first-line;curative-intent
Cis-Pem;Cisplatin;Pemetrexed;;;;;;C34, C45;C48, C38;C34, C45;C48, C38;high;;;unique;;FALSE;first-line;palliative
Cisplatin + RT;Cisplatin;;;;;;;C01, C02, C03, C04, C05, C06, C09, C10, C13, C14, C32, C53;C15, C33, C34;C01, C02, C03, C04, C05, C06, C09, C10, C13, C14, C32, C53;C15, C33, C34;high;;;unique;CV,Cis-Pem,DHAP,DVP,Durvalumab + Gem/Cis,ECF,EXTREME mit Cisplatin,GC-B (Cis),GDP-Schema,Gem-Cis,M-VAC,MAP,PAC,PE,PEB,PEI,PF,PLF,PVBI,Paclitaxel/Cisplatin/Bevacizumab,Pembro + Platin/5-FU,R-DHAP,TIP,TPF,VIPD,VeIP,XP;TRUE;first-line;chemoradiotherapy,curative-intent
CMF;Cyclophosphamid;Fluorouracil;Methotrexat;;;;;C50;;C50;;high;;;unique;;FALSE;first-line;adjuvant
COPP;Cyclophosphamid;Procarbazin;Vincristin;Prednison;;;;C81;C83, C85;C77;C77;high;;;unique;BEACOPP;FALSE;first-line;curative-intent
CPX-351;Cytarabin und Daunorubicin;;;;;;;C92;D46;C42;C42, D46;high;;;unique;;TRUE;first-line;induction
CROSS;Carboplatin;Paclitaxel;;;;;;C15;C16;C15;C16;high;DG02;PC;resolvable by entity;PC mit Bevacizumab,Pembro + Carbo/Paclitaxel;FALSE;first-line;neoadjuvant,chemoradiotherapy,curative-intent
CV;Cisplatin;Vinorelbin;;;;;;C34;C33, C50, C45;C34;C33, C50, C45;medium;;;unique;;FALSE;first-line;adjuvant,palliative
DA;Cytarabin;Daunorubicin;;;;;;C92;C91, C93, C94, D46;C42;C42, D46;medium;;;unique;TAD;FALSE;first-line;induction
Dabrafenib + Trametinib;Dabrafenib;Trametinib;;;;;;C43;C34, C71, C73;C43;C34, C71, C73;high;;;unique;;FALSE;first-line and later;adjuvant,palliative
Darolutamid;Darolutamid;;;;;;;C61;;C61;;high;;;unique;;TRUE;first-line and later;palliative
Dasatinib;Dasatinib;;;;;;;C92;C91;C42;C42;high;;;unique;;TRUE;first-line and later;palliative
DC (Doce/Carbo);Carboplatin;Docetaxel;;;;;;C50, C56, C34;C57, C48, C54, C15, C01, C02, C03, C04, C05, C06, C09, C10, C13, C14, C32;C50, C56, C34;C57, C48, C54, C15, C01, C02, C03, C04, C05, C06, C09, C10, C13, C14, C32;medium;;;unique;TCH;FALSE;first-line;neoadjuvant,adjuvant,palliative
DC (Doce/Cyclo);Cyclophosphamid;Docetaxel;;;;;;C50;;C50;;high;;;unique;EC-D,FEC-Doc,TAC;FALSE;first-line;adjuvant
Degarelix;Degarelix;;;;;;;C61;;C61;;high;;;unique;;TRUE;first-line;palliative
DeVIC;Carboplatin;Etoposid;Ifosfamid;Dexamethason;;;;C86, C83, C85;C82, C84, C81;C11, C30, C77;C77;medium;;;unique;R-DeVIC;FALSE;first-line and later;chemoradiotherapy,salvage
Dexa-BEAM;Carmustin;Cytarabin;Etoposid;Melphalan;Dexamethason;;;C81, C83, C85;C82, C84;C77;C77;high;;;unique;;FALSE;second-line+;salvage,stem-cell mobilisation
DHAP;Cisplatin;Cytarabin;Dexamethason;;;;;C81, C83, C85;C82, C84, C86, C88;C77;C77;high;;;unique;R-DHAP;FALSE;second-line+;salvage
Docetaxel + Prednison;Docetaxel;Prednison;;;;;;C61;;C61;;high;;;unique;;FALSE;first-line;palliative
Doxorubicin mono;Doxorubicin;;;;;;;C49, C48;C40, C41, C50, C54;C49, C48;C40, C41, C50, C54;high;;;unique;A+AVD,ABVD,AC,ACO,ADR-IFO,AVD,BEACOPP,BrECADD,CAD,CHOEP,CHOP,EPOCH-R,FAC,Hyper-CVAD,M-VAC,MAP,PAC,PVAG-Schema,Pola-R-CHP,R-CHOP,TAC,VIDE;TRUE;first-line;palliative
DRC;Cyclophosphamid;Rituximab;Dexamethason;;;;;C88;C82, C83, C85;C77;C77;high;;;unique;;FALSE;first-line;palliative
D-Rd;Daratumumab;Lenalidomid;Dexamethason;;;;;C90;;C42;;high;;;unique;;FALSE;first-line;palliative
DTIC mono;Dacarbazin;;;;;;;C43;C49, C81;C43;C49, C77;medium;;;unique;A+AVD,ABVD,AVD,BOLD,BrECADD,DVP;TRUE;;palliative
Durvalumab + Gem/Cis;Durvalumab;Gemcitabin;Cisplatin;;;;;C22, C23, C24;;C22, C23, C24;;high;;;unique;;FALSE;first-line;palliative
Durvalumab + Platin/Etoposid;Durvalumab;Carboplatin;Etoposid;;;;;C34;;C34;;high;;;unique;;FALSE;first-line;palliative
Durvalumab mono;Durvalumab;;;;;;;C34;C22, C23, C24;C34;C22, C23, C24;high;;;unique;Durvalumab + Gem/Cis,Durvalumab + Platin/Etoposid;TRUE;;consolidation,curative-intent
D-VMP;Daratumumab;Bortezomib;Melphalan;Prednison;;;;C90;;C42;;high;;;unique;;FALSE;first-line;palliative
DVP;Cisplatin;Dacarbazin;Vindesin;;;;;C43;C69;C43;C69;medium;;;unique;;FALSE;;palliative
D-VTd;Daratumumab;Bortezomib;Thalidomid;Dexamethason;;;;C90;;C42;;high;;;unique;;FALSE;first-line;induction
EC;Cyclophosphamid;Epirubicin;;;;;;C50;C34, C49, C40, C41;C50;C34, C49, C40, C41;high;;;unique;EC-D,EC-P,FEC,FEC-Doc;FALSE;first-line;neoadjuvant,adjuvant,curative-intent
EC-D;Cyclophosphamid;Docetaxel;Epirubicin;;;;;C50;;C50;;high;;;unique;FEC-Doc;FALSE;first-line;neoadjuvant,adjuvant,curative-intent
ECF;Cisplatin;Epirubicin;Fluorouracil;;;;;C16, C15;C22, C23, C24, C25;C16, C15;C22, C23, C24, C25;high;;;unique;;FALSE;first-line;perioperative,palliative
EC-P;Cyclophosphamid;Epirubicin;Paclitaxel;;;;;C50;;C50;;high;;;unique;;FALSE;first-line;neoadjuvant,adjuvant,curative-intent
ELO-Rd;Elotuzumab;Lenalidomid;Dexamethason;;;;;C90;;C42;;high;;;unique;;FALSE;second-line+;palliative
Encorafenib + Binimetinib;Encorafenib;Binimetinib;;;;;;C43;C18, C19, C20;C43;C18, C19, C20;high;;;unique;;FALSE;first-line and later;palliative
Enzalutamid;Enzalutamid;;;;;;;C61;;C61;;high;;;unique;;TRUE;first-line and later;palliative
EOX;Capecitabin;Epirubicin;Oxaliplatin;;;;;C16, C15;C22, C23, C24;C16, C15;C22, C23, C24;high;;;unique;;FALSE;first-line;palliative
EPOCH-R;Cyclophosphamid;Doxorubicin;Etoposid;Vincristin;Rituximab;Prednison;;C83, C85;C82, C88, C91;C77;C77, C38;high;;;unique;;FALSE;first-line;curative-intent
Eribulin;Eribulin;;;;;;;C50;C49;C50;C49;high;;;unique;;TRUE;second-line+;palliative
EV + Pembrolizumab;Enfortumab Vedotin;Pembrolizumab;;;;;;C67, C65, C66, C68;;C67, C65, C66, C68;;high;;;unique;;FALSE;first-line;palliative
Exemestan;Exemestan;;;;;;;C50;;C50;;high;;;unique;AI + GnRH-Analogon;TRUE;first-line and later;adjuvant,palliative,long-term endocrine
EXTREME mit Carboplatin;Carboplatin;Cetuximab;Fluorouracil;;;;;C01, C02, C03, C04, C05, C06, C09, C10, C13, C14, C32;C00, C07, C08, C11, C12, C30, C31, C15;C01, C02, C03, C04, C05, C06, C09, C10, C13, C14, C32;C00, C07, C08, C11, C12, C30, C31, C15;high;;;unique;;FALSE;first-line;palliative
EXTREME mit Cisplatin;Cetuximab;Cisplatin;Fluorouracil;;;;;C01, C02, C03, C04, C05, C06, C09, C10, C13, C14, C32;C00, C07, C08, C11, C12, C30, C31, C15;C01, C02, C03, C04, C05, C06, C09, C10, C13, C14, C32;C00, C07, C08, C11, C12, C30, C31, C15;high;;;unique;;FALSE;first-line;palliative
FAC;Cyclophosphamid;Doxorubicin;Fluorouracil;;;;;C50;;C50;;high;;;unique;;FALSE;first-line;adjuvant
FC;Cyclophosphamid;Fludarabin;;;;;;C91;C82, C83, C88;C42;C77;high;;;unique;FCR;FALSE;;palliative
FCR;Cyclophosphamid;Fludarabin;Rituximab;;;;;C91;C82, C83, C88;C42;C77;high;;;unique;;FALSE;first-line;palliative
FEC;Cyclophosphamid;Epirubicin;Fluorouracil;;;;;C50;;C50;;high;;;unique;FEC-Doc;FALSE;first-line;neoadjuvant,adjuvant,curative-intent
FEC-Doc;Cyclophosphamid;Docetaxel;Epirubicin;Fluorouracil;;;;C50;;C50;;high;;;unique;;FALSE;first-line;neoadjuvant,adjuvant,curative-intent
FLAG-Ida;Cytarabin;Fludarabin;Idarubicin;;;;;C92;C91, C93, D46;C42;C42, D46;high;;;unique;;FALSE;second-line+;salvage
FLO;Fluorouracil;Folinsäure;Oxaliplatin;;;;;C16, C15;C18, C19, C20, C25;C16, C15;C18, C19, C20, C25;high;DG03;FOLFOX;resolvable by entity;FLOT,FOLFOX + Bevacizumab,FOLFOX + Panitumumab,FOLFOXIRI,Folfirinox;FALSE;first-line;palliative
FLOT;Docetaxel;Fluorouracil;Folinsäure;Oxaliplatin;;;;C16, C15;C17, C25;C16, C15;C17, C25;high;;;unique;;FALSE;first-line;perioperative,curative-intent
Flu-Cam;Alemtuzumab;Fludarabin;;;;;;C91;C84;C42;C77;medium;;;unique;;FALSE;second-line+;palliative
FOLFIRI;Fluorouracil;Folinsäure;Irinotecan;;;;;C18, C19, C20;C16, C25, C22, C23, C24;C18, C19, C20;C16, C25, C22, C23, C24;high;;;unique;FOLFIRI + Bevacizumab,FOLFIRI + Cetuximab,FOLFOXIRI,Folfirinox;FALSE;first-line and later;palliative
FOLFIRI + Bevacizumab;Fluorouracil;Folinsäure;Irinotecan;Bevacizumab;;;;C18, C19, C20;;C18, C19, C20;;high;;;unique;;FALSE;first-line and later;palliative
FOLFIRI + Cetuximab;Fluorouracil;Folinsäure;Irinotecan;Cetuximab;;;;C18, C19, C20;;C18, C19, C20;;high;;;unique;;FALSE;first-line and later;palliative
Folfirinox;Fluorouracil;Folinsäure;Irinotecan;Oxaliplatin;;;;C25;C22, C23, C24, C18, C19, C20;C25;C22, C23, C24, C18, C19, C20;high;DG04;FOLFOXIRI;resolvable by entity;;FALSE;first-line;adjuvant,palliative
FOLFOX;Fluorouracil;Folinsäure;Oxaliplatin;;;;;C18, C19, C20;C16, C15, C25, C22, C23, C24;C18, C19, C20;C16, C15, C25, C22, C23, C24;high;DG03;FLO;resolvable by entity;FLOT,FOLFOX + Bevacizumab,FOLFOX + Panitumumab,FOLFOXIRI,Folfirinox;FALSE;first-line;adjuvant,perioperative,palliative
FOLFOX + Bevacizumab;Fluorouracil;Folinsäure;Oxaliplatin;Bevacizumab;;;;C18, C19, C20;C16;C18, C19, C20;C16;high;;;unique;;FALSE;first-line;palliative
FOLFOX + Panitumumab;Fluorouracil;Folinsäure;Oxaliplatin;Panitumumab;;;;C18, C19, C20;;C18, C19, C20;;high;;;unique;;FALSE;first-line;palliative
FOLFOXIRI;Fluorouracil;Folinsäure;Irinotecan;Oxaliplatin;;;;C18, C19, C20;C16, C25;C18, C19, C20;C16, C25;high;DG04;Folfirinox;resolvable by entity;;FALSE;first-line;palliative
FUFAMI;Fluorouracil;Folinsäure;Mitomycin;;;;;C18, C19, C20;C21, C16;C18, C19, C20;C21, C16;medium;;;unique;;FALSE;;palliative
Fulvestrant mono;Fulvestrant;;;;;;;C50;;C50;;high;;;unique;Abemaciclib + Fulvestrant;TRUE;first-line and later;palliative,long-term endocrine
GC-B (Carbo);Bevacizumab;Carboplatin;Gemcitabin;;;;;C56, C57, C48;C34;C56, C57, C48;C34;high;;;unique;;FALSE;second-line+;palliative
GC-B (Cis);Bevacizumab;Cisplatin;Gemcitabin;;;;;C56, C57, C48;C34;C56, C57, C48;C34;high;;;unique;;FALSE;first-line;palliative
GDP-Schema;Cisplatin;Gemcitabin;Dexamethason;;;;;C81, C83, C85;C82, C84, C86;C77;C77;high;;;unique;;FALSE;second-line+;salvage
GELOX;Asparaginase;Gemcitabin;Oxaliplatin;;;;;C86;C84;C11, C30;C77;high;;;unique;;FALSE;first-line and later;chemoradiotherapy,salvage
Gem + Nab-Paclitaxel;Gemcitabin;Nab-Paclitaxel;;;;;;C25;;C25;;high;;;unique;;FALSE;first-line;palliative
Gem-Carbo;Carboplatin;Gemcitabin;;;;;;C34, C56, C67;C50, C45, C57, C48, C22, C23, C24;C34, C56, C67;C50, C45, C57, C48, C22, C23, C24;medium;;;unique;GC-B (Carbo);FALSE;first-line;palliative
Gem-Cis;Cisplatin;Gemcitabin;;;;;;C22, C23, C24, C67, C34;C25, C45, C53, C11, C65, C66;C22, C23, C24, C67, C34;C25, C45, C53, C11, C65, C66;high;;;unique;Durvalumab + Gem/Cis,GC-B (Cis),GDP-Schema;FALSE;first-line;palliative
Gem-Doce;Gemcitabin;Docetaxel;;;;;;C49;C54, C48, C40, C41;C49;C54, C48, C40, C41;high;;;unique;;FALSE;first-line and later;palliative
GemOx;Gemcitabin;Oxaliplatin;;;;;;C22,C23,C24,C25;C83,C85,C84,C86,C16;C22,C23,C24,C25;C77,C16;high;;;unique;GELOX,P-GEMOX,R-GemOx;FALSE;;palliative
GnRH-Analogon (ADT);GnRH-Analogon;;;;;;;C61;C50;C61;C50;high;;;unique;AI + GnRH-Analogon,Tamoxifen + GnRH-Analogon;TRUE;first-line;adjuvant,palliative,long-term endocrine
HAM;Cytarabin ;Mitoxantron;;;;;;C92;C91, C93, D46;C42;C42, D46;medium;;;unique;MAV;FALSE;first-line;induction,consolidation
Hyper-CVAD;Cyclophosphamid;Vincristin;Doxorubicin;Dexamethason;Mesna;;;C91, C83;C85, C88;C42, C77;C77;high;;;unique;;FALSE;first-line;induction,curative-intent
Ibrutinib;Ibrutinib;;;;;;;C91;C83, C88;C42;C77;high;;;unique;;TRUE;first-line and later;palliative
ICE;Carboplatin;Etoposid;Ifosfamid;;;;;C81, C83, C85;C34, C40, C41, C49, C62, C84, C86;C77;C34, C40, C41, C49, C62, C77;high;;;unique;DeVIC,R-DeVIC,R-ICE;FALSE;second-line+;salvage
IEV;Epirubicin;Etoposid;Ifosfamid;;;;;C81, C83, C85;C49, C40, C41;C77;C49, C40, C41;medium;;;unique;;FALSE;second-line+;salvage
Imatinib;Imatinib;;;;;;;C92, C16, C17;C91, C18, C48, C49;C42, C16, C17;C42, C18, C48, C49;high;;;unique;;TRUE;first-line;palliative,adjuvant
IMVP-16;Etoposid;Ifosfamid;Methotrexat;;;;;C83, C85;C81, C84;C77;C77;medium;;;unique;SMILE;FALSE;second-line+;salvage
Instillation Intrathekal Quadrupel;Cytarabin;Methotrexat;Dexamethason;Rituximab;;;;C83, C85, C91;C92, C84, C86;C70;C77, C42;medium;;;unique;;FALSE;;CNS-directed
Instillation Intrathekal Tripel;Cytarabin;Methotrexat;Dexamethason;;;;;C91, C83, C85;C92, C84, C86, C50, C34;C70;C77, C42;medium;;;unique;Instillation Intrathekal Quadrupel;FALSE;;CNS-directed
IRd;Ixazomib;Lenalidomid;Dexamethason;;;;;C90;;C42;;high;;;unique;;FALSE;second-line+;palliative
Knospe;Chlorambucil;Prednison;;;;;;C91;C82, C83, C88;C42;C77;high;;;unique;Knospe modifiziert,R-MCP;FALSE;first-line;palliative
Knospe modifiziert;Chlorambucil;Prednison;Rituximab;;;;;C91;C82, C88;C42;C77;high;;;unique;R-MCP;FALSE;first-line;palliative
KRD;Carfilzomib;Lenalidomid;Dexamethason;;;;;C90;;C42;;high;;;unique;;FALSE;second-line+;palliative
Lanreotid;Lanreotid;;;;;;;C25, C17, C18;C34, C19, C20;C25, C17, C18;C34, C19, C20;high;;;unique;;TRUE;first-line;palliative
Lenvatinib;Lenvatinib;;;;;;;C22, C73;C54, C64;C22, C73;C54, C64;high;;;unique;;TRUE;first-line and later;palliative
Letrozol mono;Letrozol;;;;;;;C50;C54;C50;C54;high;;;unique;Palbociclib + Letrozol,Ribociclib + Letrozol;TRUE;first-line and later;adjuvant,palliative,long-term endocrine
Lomustin mono;Lomustin;;;;;;;C71;C70, C72;C71;C70, C72;high;;;unique;BOLD,PCV;TRUE;second-line+;palliative
MAMAC;Amsacrin;Cytarabin;;;;;;C92;C91;C42;C42;medium;;;unique;;FALSE;second-line+;salvage
MAP;Methotrexat;Doxorubicin;Cisplatin;;;;;C40, C41;C49;C40, C41;C49;high;;;unique;M-VAC;FALSE;first-line;neoadjuvant,adjuvant,curative-intent
MATRix;Cytarabin;Methotrexat;Rituximab;Thiotepa;;;;C83;C85;C71;C77;high;;;unique;;FALSE;first-line;induction,curative-intent
MAV;Cytarabin;Etoposid;Mitoxantron;;;;;C92;C91, D46;C42;C42, D46;medium;;;unique;;FALSE;;salvage
M-Cavi;Carboplatin;Methotrexat;Vinblastin;;;;;C67, C65, C66, C68;;C67, C65, C66, C68;;high;;;unique;;FALSE;first-line;palliative
Medroxyprogesteronacetat;Medroxyprogesteronacetat;;;;;;;C54;C56;C54;C56;high;;;unique;;TRUE;;palliative,long-term endocrine
Megestrolacetat;Megestrolacetat;;;;;;;C54;C50;C54;C50;high;;;unique;;TRUE;;palliative,long-term endocrine
MPT;Melphalan;Thalidomid;Prednison;;;;;C90;;C42;;high;;;unique;;FALSE;first-line;palliative
M-VAC;Cisplatin;Doxorubicin;Methotrexat;Vinblastin;;;;C67, C65, C66, C68;;C67, C65, C66, C68;;high;;;unique;;FALSE;first-line;neoadjuvant,palliative
Nab-Paclitaxel mono;Nab-Paclitaxel;;;;;;;C50;C34, C25;C50;C34, C25;high;;;unique;Gem + Nab-Paclitaxel;TRUE;;palliative
nal-IRI + 5-FU/FA;Irinotecan liposomal;Fluorouracil;Folinsäure;;;;;C25;;C25;;high;;;unique;;FALSE;second-line+;palliative
Nigro;Fluorouracil;Mitomycin;;;;;;C21;;C21;;high;;;unique;FUFAMI;FALSE;first-line;chemoradiotherapy,curative-intent
Nilotinib;Nilotinib;;;;;;;C92;C91;C42;C42;high;;;unique;;TRUE;first-line and later;palliative
Niraparib;Niraparib;;;;;;;C56, C57, C48;;C56, C57, C48;;high;;;unique;;TRUE;;maintenance
Nivolumab + Ipilimumab;Nivolumab;Ipilimumab;;;;;;C43, C64;C45, C18, C19, C20, C22, C34, C69;C43, C64;C45, C18, C19, C20, C22, C34, C69;high;;;unique;;FALSE;first-line;palliative
Nivolumab mono;Nivolumab;;;;;;;C34, C43, C64;C32, C09, C10, C15, C16, C67, C22, C81, C45;C34, C43, C64;C32, C09, C10, C15, C16, C67, C22, C77, C45;high;;;unique;Nivolumab + Ipilimumab;TRUE;first-line and later;adjuvant,palliative
O-Benda;Obinutuzumab;Bendamustin;;;;;;C82, C91;C83, C88, C85;C77, C42;C77;high;;;unique;;FALSE;first-line and later;palliative
Octreotid LAR;Octreotid;;;;;;;C25, C17, C18;C34, C73, C19, C20;C25, C17, C18;C34, C73, C19, C20;high;;;unique;;TRUE;first-line;palliative
Olaparib;Olaparib;;;;;;;C50, C56, C61, C25;C57, C48;C50, C56, C61, C25;C57, C48;high;;;unique;;TRUE;;maintenance,palliative
