Source:;Basis: ZFKD 2025, modified, annotated with support by Claude Opus, modified, Enhanced with support by Claude Opus, modified;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Regime;Substance1;Substance2;Substance3;Substance4;Substance5;Substance6;Substance7;Inclusion.ICD10.Short;Inclusion.ICD10.Short.Confidence;Inclusion.ICD10.Short.SecondaryUse;Inclusion.ICD10.Short.SecondaryUse.Confidence;Inclusion.ICDO.TopographyCode.Short;Inclusion.ICDO.TopographyCode.Short.Confidence;Inclusion.ICDO.TopographyCode.Short.SecondaryUse;Inclusion.ICDO.TopographyCode.Short.SecondaryUse.Confidence;Inclusion.ICD10.Detailed;Inclusion.ICD10.Detailed.Confidence;Inclusion.ICD10.Detailed.SecondaryUse;Inclusion.ICD10.Detailed.SecondaryUse.Confidence;Inclusion.ICDO.Morphology;Inclusion.ICDO.Morphology.Confidence;Inclusion.Biomarker.RequiredAll;Inclusion.Biomarker.RequiredAll.Confidence;Inclusion.Biomarker.RequiredAny;Inclusion.Biomarker.RequiredAny.Confidence;Confidence;DuplicateGroup;DuplicateGroup.Members;DuplicateGroup.Disambiguation;SubsetOf;SingleAgent;Therapy.Line;Therapy.Line.Confidence;Therapy.Context;Therapy.Context.Confidence
Degarelix;Degarelix;;;;;;;C61;high;;;C61;high;;;;;;;8140/3;high;;;;;high;;;unique;;TRUE;first-line;medium;palliative;high
DeVIC;Carboplatin;Etoposid;Ifosfamid;Dexamethason;;;;C86, C83, C85;medium;C82, C84, C81;medium;C11, C30, C77;high;C77;medium;C86.0, C83.3, C85;medium;;;9719/3,9680/3,9690/3,9673/3;medium;;;;;medium;;;unique;R-DeVIC;FALSE;first-line and later;medium;chemoradiotherapy,salvage;medium
Dexa-BEAM;Carmustin;Cytarabin;Etoposid;Melphalan;Dexamethason;;;C81, C83, C85;high;C82, C84;high;C77;high;C77;high;C81, C83.3, C85;medium;;;9650/3-9667/3,9680/3,9690/3,9673/3;medium;;;;;high;;;unique;;FALSE;second-line+;high;salvage,stem-cell mobilisation;high
DHAP;Cisplatin;Cytarabin;Dexamethason;;;;;C81, C83, C85;high;C82, C84, C86, C88;medium;C77;high;C77;medium;C81, C83.3, C85;medium;;;9680/3,9690/3,9673/3,9650/3-9667/3;medium;;;;;high;;;unique;R-DHAP;FALSE;second-line+;high;salvage;high
Docetaxel + Prednison;Docetaxel;Prednison;;;;;;C61;high;;;C61;high;;;;;;;8140/3;high;;;;;high;;;unique;;FALSE;first-line;high;palliative;high
Doxorubicin mono;Doxorubicin;;;;;;;C49, C48;high;C40, C41, C50, C54;medium;C49, C48;high;C40, C41, C50, C54;medium;;;;;8800/3-8890/3;medium;;;;;high;;;unique;A+AVD,ABVD,AC,ACO,ADR-IFO,AVD,BEACOPP,BrECADD,CAD,CHOEP,CHOP,EPOCH-R,FAC,Hyper-CVAD,M-VAC,MAP,PAC,PVAG-Schema,Pola-R-CHP,R-CHOP,TAC,VIDE;TRUE;first-line;high;palliative;high
DRC;Cyclophosphamid;Rituximab;Dexamethason;;;;;C88;high;C82, C83, C85;medium;C77;high;C77;medium;C88.4;medium;;;9761/3,9689/3,9699/3;medium;CD20-positive;high;;;high;;;unique;;FALSE;first-line;high;palliative;high
D-Rd;Daratumumab;Lenalidomid;Dexamethason;;;;;C90;high;;;C42;high;;;C90.0;high;;;9732/3;high;;;;;high;;;unique;;FALSE;first-line;high;palliative;high
DTIC mono;Dacarbazin;;;;;;;C43;medium;C49, C81;medium;C43;medium;C49, C77;medium;;;;;8720/3;high;;;;;medium;;;unique;A+AVD,ABVD,AVD,BOLD,BrECADD,DVP;TRUE;;;palliative;medium
Durvalumab + Gem/Cis;Durvalumab;Gemcitabin;Cisplatin;;;;;C22, C23, C24;high;;;C22, C23, C24;high;;;C22.1, C23, C24;high;;;8160/3;high;;;;;high;;;unique;;FALSE;first-line;high;palliative;high
Durvalumab + Platin/Etoposid;Durvalumab;Carboplatin;Etoposid;;;;;C34;high;;;C34;high;;;;;;;8041/3-8045/3;high;;;;;high;;;unique;;FALSE;first-line;high;palliative;high
Durvalumab mono;Durvalumab;;;;;;;C34;high;C22, C23, C24;medium;C34;high;C22, C23, C24;medium;;;;;8140/3,8250/3,8255/3,8070/3;medium;;;;;high;;;unique;Durvalumab + Gem/Cis,Durvalumab + Platin/Etoposid;TRUE;;;consolidation,curative-intent;high
D-VMP;Daratumumab;Bortezomib;Melphalan;Prednison;;;;C90;high;;;C42;high;;;C90.0;high;;;9732/3;high;;;;;high;;;unique;;FALSE;first-line;high;palliative;high
DVP;Cisplatin;Dacarbazin;Vindesin;;;;;C43;medium;C69;medium;C43;medium;C69;medium;;;;;8720/3;high;;;;;medium;;;unique;;FALSE;;;palliative;medium
D-VTd;Daratumumab;Bortezomib;Thalidomid;Dexamethason;;;;C90;high;;;C42;high;;;C90.0;high;;;9732/3;high;;;;;high;;;unique;;FALSE;first-line;high;induction;high
EC;Cyclophosphamid;Epirubicin;;;;;;C50;high;C34, C49, C40, C41;medium;C50;high;C34, C49, C40, C41;medium;;;;;8500/3,8520/3;medium;;;;;high;;;unique;EC-D,EC-P,FEC,FEC-Doc;FALSE;first-line;high;neoadjuvant,adjuvant,curative-intent;high
EC-D;Cyclophosphamid;Docetaxel;Epirubicin;;;;;C50;high;;;C50;high;;;;;;;8500/3,8520/3;medium;;;;;high;;;unique;FEC-Doc;FALSE;first-line;high;neoadjuvant,adjuvant,curative-intent;high
ECF;Cisplatin;Epirubicin;Fluorouracil;;;;;C16, C15;high;C22, C23, C24, C25;medium;C16, C15;high;C22, C23, C24, C25;medium;;;;;8140/3,8144/3;medium;;;;;high;;;unique;;FALSE;first-line;high;perioperative,palliative;high
EC-P;Cyclophosphamid;Epirubicin;Paclitaxel;;;;;C50;high;;;C50;high;;;;;;;8500/3,8520/3;medium;;;;;high;;;unique;;FALSE;first-line;high;neoadjuvant,adjuvant,curative-intent;high
ELO-Rd;Elotuzumab;Lenalidomid;Dexamethason;;;;;C90;high;;;C42;high;;;C90.0;high;;;9732/3;high;;;;;high;;;unique;;FALSE;second-line+;high;palliative;high
Encorafenib + Binimetinib;Encorafenib;Binimetinib;;;;;;C43;high;C18, C19, C20;medium;C43;high;C18, C19, C20;medium;;;;;8720/3;high;BRAF V600-mutated;high;;;high;;;unique;;FALSE;first-line and later;medium;palliative;high
Enzalutamid;Enzalutamid;;;;;;;C61;high;;;C61;high;;;;;;;8140/3;high;;;;;high;;;unique;;TRUE;first-line and later;medium;palliative;high
EOX;Capecitabin;Epirubicin;Oxaliplatin;;;;;C16, C15;high;C22, C23, C24;medium;C16, C15;high;C22, C23, C24;medium;;;;;8140/3,8144/3;medium;;;;;high;;;unique;;FALSE;first-line;high;palliative;high
EPOCH-R;Cyclophosphamid;Doxorubicin;Etoposid;Vincristin;Rituximab;Prednison;;C83, C85;high;C82, C88, C91;medium;C77;high;C77, C38;high;C83.7, C85.2;high;;;9680/3,9679/3,9687/3;high;CD20-positive;high;;;high;;;unique;;FALSE;first-line;high;curative-intent;high
Eribulin;Eribulin;;;;;;;C50;high;C49;high;C50;high;C49;high;;;;;8500/3,8520/3;medium;;;;;high;;;unique;;TRUE;second-line+;high;palliative;high
EV + Pembrolizumab;Enfortumab Vedotin;Pembrolizumab;;;;;;C67, C65, C66, C68;high;;;C67, C65, C66, C68;high;;;;;;;8120/3;high;;;;;high;;;unique;;FALSE;first-line;high;palliative;high
Exemestan;Exemestan;;;;;;;C50;high;;;C50;high;;;;;;;8500/3,8520/3;medium;HR-positive;high;;;high;;;unique;AI + GnRH-Analogon;TRUE;first-line and later;medium;adjuvant,palliative,long-term endocrine;high
EXTREME mit Carboplatin;Carboplatin;Cetuximab;Fluorouracil;;;;;C01, C02, C03, C04, C05, C06, C09, C10, C13, C14, C32;high;C00, C07, C08, C11, C12, C30, C31, C15;low;C01, C02, C03, C04, C05, C06, C09, C10, C13, C14, C32;high;C00, C07, C08, C11, C12, C30, C31, C15;low;;;;;8070/3;high;;;;;high;;;unique;;FALSE;first-line;high;palliative;high
EXTREME mit Cisplatin;Cetuximab;Cisplatin;Fluorouracil;;;;;C01, C02, C03, C04, C05, C06, C09, C10, C13, C14, C32;high;C00, C07, C08, C11, C12, C30, C31, C15;low;C01, C02, C03, C04, C05, C06, C09, C10, C13, C14, C32;high;C00, C07, C08, C11, C12, C30, C31, C15;low;;;;;8070/3;high;;;;;high;;;unique;;FALSE;first-line;high;palliative;high
FAC;Cyclophosphamid;Doxorubicin;Fluorouracil;;;;;C50;high;;;C50;high;;;;;;;8500/3,8520/3;medium;;;;;high;;;unique;;FALSE;first-line;high;adjuvant;high
FC;Cyclophosphamid;Fludarabin;;;;;;C91;high;C82, C83, C88;medium;C42;high;C77;medium;C91.1;high;;;9823/3;high;;;;;high;;;unique;FCR;FALSE;;;palliative;medium
FCR;Cyclophosphamid;Fludarabin;Rituximab;;;;;C91;high;C82, C83, C88;medium;C42;high;C77;medium;C91.1;high;;;9823/3;high;CD20-positive;high;;;high;;;unique;;FALSE;first-line;medium;palliative;high
FEC;Cyclophosphamid;Epirubicin;Fluorouracil;;;;;C50;high;;;C50;high;;;;;;;8500/3,8520/3;medium;;;;;high;;;unique;FEC-Doc;FALSE;first-line;high;neoadjuvant,adjuvant,curative-intent;high
FEC-Doc;Cyclophosphamid;Docetaxel;Epirubicin;Fluorouracil;;;;C50;high;;;C50;high;;;;;;;8500/3,8520/3;medium;;;;;high;;;unique;;FALSE;first-line;high;neoadjuvant,adjuvant,curative-intent;high
FLAG-Ida;Cytarabin;Fludarabin;Idarubicin;;;;;C92;high;C91, C93, D46;medium;C42;high;C42, D46;high;C92.0;high;;;9861/3,9895/3,9896/3;high;;;;;high;;;unique;;FALSE;second-line+;high;salvage;high
FLO;Fluorouracil;Folinsäure;Oxaliplatin;;;;;C16, C15;high;C18, C19, C20, C25;medium;C16, C15;high;C18, C19, C20, C25;medium;;;;;8140/3,8144/3;medium;;;;;high;DG03;FOLFOX;resolvable by entity;FLOT,FOLFOX + Bevacizumab,FOLFOX + Panitumumab,FOLFOXIRI,Folfirinox;FALSE;first-line;high;palliative;high
FLOT;Docetaxel;Fluorouracil;Folinsäure;Oxaliplatin;;;;C16, C15;high;C17, C25;high;C16, C15;high;C17, C25;high;C16.0, C15;medium;;;8140/3,8144/3;medium;;;;;high;;;unique;;FALSE;first-line;high;perioperative,curative-intent;high
Flu-Cam;Alemtuzumab;Fludarabin;;;;;;C91;medium;C84;medium;C42;medium;C77;medium;C91.6;high;;;9823/3,9834/3;high;;;;;medium;;;unique;;FALSE;second-line+;high;palliative;high
FOLFIRI;Fluorouracil;Folinsäure;Irinotecan;;;;;C18, C19, C20;high;C16, C25, C22, C23, C24;medium;C18, C19, C20;high;C16, C25, C22, C23, C24;medium;;;;;8140/3;medium;;;;;high;;;unique;FOLFIRI + Bevacizumab,FOLFIRI + Cetuximab,FOLFOXIRI,Folfirinox;FALSE;first-line and later;high;palliative;high
FOLFIRI + Bevacizumab;Fluorouracil;Folinsäure;Irinotecan;Bevacizumab;;;;C18, C19, C20;high;;;C18, C19, C20;high;;;;;;;8140/3;medium;;;;;high;;;unique;;FALSE;first-line and later;high;palliative;high
FOLFIRI + Cetuximab;Fluorouracil;Folinsäure;Irinotecan;Cetuximab;;;;C18, C19, C20;high;;;C18, C19, C20;high;;;C18.5-C18.7, C19, C20;medium;;;8140/3;medium;RAS wild-type;high;;;high;;;unique;;FALSE;first-line and later;high;palliative;high
Folfirinox;Fluorouracil;Folinsäure;Irinotecan;Oxaliplatin;;;;C25;high;C22, C23, C24, C18, C19, C20;low;C25;high;C22, C23, C24, C18, C19, C20;low;C25.0-C25.3;high;;;8140/3,8500/3;medium;;;;;high;DG04;FOLFOXIRI;resolvable by entity;;FALSE;first-line;high;adjuvant,palliative;high
